Cluster ID,Cluster Name,Year,Count
3,System_Architecture_and_Documentation,1962,14
3,System_Architecture_and_Documentation,1963,19
3,System_Architecture_and_Documentation,1964,26
3,System_Architecture_and_Documentation,1965,20
3,System_Architecture_and_Documentation,1966,27
3,System_Architecture_and_Documentation,1967,34
3,System_Architecture_and_Documentation,1968,27
3,System_Architecture_and_Documentation,1969,39
3,System_Architecture_and_Documentation,1970,38
3,System_Architecture_and_Documentation,1971,27
3,System_Architecture_and_Documentation,1972,48
3,System_Architecture_and_Documentation,1973,24
3,System_Architecture_and_Documentation,1974,36
3,System_Architecture_and_Documentation,1975,36
3,System_Architecture_and_Documentation,1976,142
3,System_Architecture_and_Documentation,1977,155
3,System_Architecture_and_Documentation,1978,201
3,System_Architecture_and_Documentation,1979,276
3,System_Architecture_and_Documentation,1980,362
3,System_Architecture_and_Documentation,1981,399
3,System_Architecture_and_Documentation,1982,551
3,System_Architecture_and_Documentation,1983,456
3,System_Architecture_and_Documentation,1984,458
3,System_Architecture_and_Documentation,1985,371
3,System_Architecture_and_Documentation,1986,381
3,System_Architecture_and_Documentation,1987,570
3,System_Architecture_and_Documentation,1988,687
3,System_Architecture_and_Documentation,1989,924
3,System_Architecture_and_Documentation,1990,945
3,System_Architecture_and_Documentation,1991,958
3,System_Architecture_and_Documentation,1992,1373
3,System_Architecture_and_Documentation,1993,1588
3,System_Architecture_and_Documentation,1994,1507
3,System_Architecture_and_Documentation,1995,1796
3,System_Architecture_and_Documentation,1996,1944
3,System_Architecture_and_Documentation,1997,535
3,System_Architecture_and_Documentation,1998,686
3,System_Architecture_and_Documentation,1999,731
3,System_Architecture_and_Documentation,2000,1356
3,System_Architecture_and_Documentation,2001,1327
3,System_Architecture_and_Documentation,2002,1519
3,System_Architecture_and_Documentation,2003,1683
3,System_Architecture_and_Documentation,2004,1819
3,System_Architecture_and_Documentation,2005,1509
3,System_Architecture_and_Documentation,2006,1425
3,System_Architecture_and_Documentation,2007,1286
3,System_Architecture_and_Documentation,2008,1479
3,System_Architecture_and_Documentation,2009,1772
3,System_Architecture_and_Documentation,2010,2404
3,System_Architecture_and_Documentation,2011,2778
3,System_Architecture_and_Documentation,2012,3756
3,System_Architecture_and_Documentation,2013,4795
3,System_Architecture_and_Documentation,2014,2605
3,System_Architecture_and_Documentation,2015,2485
3,System_Architecture_and_Documentation,2016,2538
3,System_Architecture_and_Documentation,2017,2691
3,System_Architecture_and_Documentation,2018,2947
3,System_Architecture_and_Documentation,2019,3348
3,System_Architecture_and_Documentation,2020,3633
3,System_Architecture_and_Documentation,2021,3735
3,System_Architecture_and_Documentation,2022,3695
3,System_Architecture_and_Documentation,2023,3460
3,System_Architecture_and_Documentation,2024,3345
3,System_Architecture_and_Documentation,2025,916
4,Mechanical_Drive_Systems,1897,240
4,Mechanical_Drive_Systems,1898,1031
4,Mechanical_Drive_Systems,1899,1215
4,Mechanical_Drive_Systems,1900,1115
4,Mechanical_Drive_Systems,1901,897
4,Mechanical_Drive_Systems,1902,1281
4,Mechanical_Drive_Systems,1903,1657
4,Mechanical_Drive_Systems,1904,1865
4,Mechanical_Drive_Systems,1905,1733
4,Mechanical_Drive_Systems,1906,1396
4,Mechanical_Drive_Systems,1907,1157
4,Mechanical_Drive_Systems,1908,1261
4,Mechanical_Drive_Systems,1909,1077
4,Mechanical_Drive_Systems,1910,792
4,Mechanical_Drive_Systems,1911,645
4,Mechanical_Drive_Systems,1912,643
4,Mechanical_Drive_Systems,1913,933
4,Mechanical_Drive_Systems,1914,544
4,Mechanical_Drive_Systems,1915,546
